Lable,RNA,regulon,description
kirc_normal,data/viper/RNA_BCM_v1/ccRCC_RNAseq_circRNA_RSEM_UQ_log2_Normal.txt,regulonkirc,Human Kidney Renal Clear Cell Carcinoma context-specific ARACNe interactome
kirc_tumor,data/viper/RNA_BCM_v1/ccRCC_RNAseq_circRNA_RSEM_UQ_log2_Tumor.txt,regulonkirc,Human Kidney Renal Clear Cell Carcinoma context-specific ARACNe interactome
hnsc_normal,data/viper/RNA_BCM_v1/HNSCC_RNAseq_gene_RSEM_coding_UQ_1500_log2_Normal.txt,regulonhnsc,Human Head and Neck Squamous Carcinoma context-specific ARACNe interactome
hnsc_tumor,data/viper/RNA_BCM_v1/HNSCC_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt,regulonhnsc,Human Head and Neck Squamous Carcinoma context-specific ARACNe interactome
lusc_normal,data/viper/RNA_BCM_v1/LSCC_RNAseq_gene_RSEM_coding_UQ_1500_log2_Normal.txt,regulonlusc,Human Lung Squamous Carcinoma context-specific ARACNe interactome
lusc_tumor,data/viper/RNA_BCM_v1/LSCC_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt,regulonlusc,Human Lung Squamous Carcinoma context-specific ARACNe interactome
luad_normal,data/viper/RNA_BCM_v1/LUAD_RNAseq_gene_RSEM_coding_UQ_1500_log2_Normal.txt,regulonluad,Human Lung Adenocarcinoma context-specific ARACNe interactome
luad_tumor,data/viper/RNA_BCM_v1/LUAD_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt,regulonluad,Human Lung Adenocarcinoma context-specific ARACNe interactome
paad_normal,data/viper/RNA_BCM_v1/PDAC_RNAseq_gene_RSEM_coding_UQ_1500_log2_Normal.txt,regulonpaad,Human Pancreas Carcinoma context-specific ARACNe interactome
paad_tumor,data/viper/RNA_BCM_v1/PDAC_RNAseq_gene_RSEM_coding_UQ_1500_log2_Tumor.txt,regulonpaad,Human Pancreas Carcinoma context-specific ARACNe interactome